u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
62915435,777426102,0,160503812,1,tertiary,False,41.312,,,,,Rua do Regadio,,,,,,,222
62915435,5581508887,0,160503836,1,tertiary,False,27.633,,,,,Rua do Regadio,,,,,,,223
62915435,277391140,0,1016953339,0,tertiary,False,213.06799999999998,,,,,Rua do Regadio,,,,,,,224
62915442,3599073387,0,354123418,0,residential,False,119.01,,,,,,,,,,,,225
62915442,62915443,0,1016953340,0,tertiary,False,26.331,,,,,Rua do Regadio,,,,,,,226
62915442,64663108,0,456442761,0,residential,True,28.304000000000002,,,,,Rua de Linhares,,,,,,,227
62915442,277391140,0,1016953339,0,tertiary,True,81.373,,,,,Rua do Regadio,,,,,,,228
62915443,64663108,0,88297856,0,residential,False,19.241,,,,,,,,,,,,229
62915443,62915442,0,1016953340,0,tertiary,True,26.331,,,,,Rua do Regadio,,,,,,,230
62915443,1025584817,0,1016953341,0,tertiary,False,153.306,,,,,Rua do Regadio,,,,,,,231
62915449,4606475731,0,8760020,0,residential,True,28.287,,,,,Rua Padre Alexandre Milheiro,,,,,,,232
62915449,62890979,0,8757432,0,tertiary,False,164.451,,,,,Rua dos Paus,,,,,,,233
62915449,5585574417,0,100955208,0,tertiary,True,115.47699999999999,,,,,Rua Joaquim Neves dos Santos,,,,,,,234
62915449,64662482,0,1016953346,0,tertiary,True,60.339999999999996,,,,,Rua do Regadio,,,,,,,235
62917391,62918457,0,8757650,0,residential,True,194.926,,,,,Travessa das Senras,,,,,,,236
62917391,5585574417,0,100955207,0,residential,False,73.06700000000001,,,,,Rua das Senras,,,,,,,237
62917391,62917393,0,100955207,0,residential,True,139.999,,,,,Rua das Senras,,,,,,,238
62917393,1025590037,0,88525080,1,residential,False,31.169,,,,,Rua do Sarilho,,,,,,,239
62917393,62890977,0,10308610,0,residential,True,21.844,,,,,Rua do Sarilho,,,,,,,240
62917393,62917391,0,100955207,0,residential,False,139.999,,,,,Rua das Senras,,,,,,,241
