osmid,y,x,street_cou,highway,ref
2081197487,30.6237431,104.1187742,4,,
2081197492,30.6196093,104.1084587,4,,
2081804848,30.6065271,104.1463173,4,,
2082811321,30.6305188,104.1109226,3,,
2082811327,30.6282737,104.1069813,3,,
2082819545,30.6167539,104.0965557,4,,
2082819553,30.6165769,104.0964134,4,,
2082821595,30.6103387,104.0876684,1,,
2084552620,30.6185966,104.0998639,4,,
2112262741,30.6176336,104.1052602,1,,
2118889094,30.6642804,104.131304,4,,
2118889096,30.6551394,104.1369535,4,,
2118898633,30.7118916,104.0781539,4,,
2118898646,30.7129993,104.0843888,3,,
2118898662,30.7119864,104.084127,3,,
2118909749,30.7127943,104.0867448,4,,
2118909751,30.7115761,104.0865805,3,,
2118910074,30.7017806,104.0876328,3,,
2118910075,30.7029651,104.0874727,4,,
2118910078,30.7089208,104.0899149,4,,
2118910086,30.7114395,104.0876025,3,,
2118910090,30.7073247,104.0875269,3,,
2118977295,30.6949563,104.0038868,4,,
2118977298,30.6796541,103.9950368,4,,
2118977299,30.6928684,104.0029282,4,,
2118977303,30.6908903,104.0017756,3,,
2118977304,30.6997553,104.0068675,3,,
2119004926,30.6954718,104.023013,4,,
2119004935,30.696964,104.024962,4,,
2119028364,30.6224092,104.1170185,4,,
2119028400,30.6124718,104.126169,4,,
2119075556,30.607187,104.105505,3,,
2119075567,30.6111979,104.1132617,4,,
2119075573,30.6134307,104.1046502,3,,
2119075583,30.6087013,104.1058918,1,,
2119075619,30.618631,104.1173353,4,,
2119075626,30.608119,104.1128376,4,,
2119075650,30.6153025,104.1047283,4,,
2119081134,30.6112756,104.1045561,4,,
2119081160,30.6110024,104.1124222,3,,
2131996149,30.6183487,104.0964178,4,,
2131996317,30.622031,104.106262,3,,
2131996318,30.6169428,104.1000903,3,,
2131996475,30.6232687,104.1052818,4,,
2133183923,30.6252944,104.1026111,4,,
2133183929,30.6226895,104.1034115,3,,
2133184343,30.6247691,104.0957395,3,,
2133184344,30.6251419,104.0973673,3,,
2133186518,30.6169558,104.0983238,3,,
2133188303,30.6199994,104.0962339,4,,
2133188691,30.617475,104.0935152,3,,
2134384831,30.5975366,104.0759752,3,,
2134384833,30.6002272,104.0769188,3,,
2134384838,30.6000326,104.0760829,4,,
2134385170,30.6002321,104.0926353,3,,
2134385189,30.5966352,104.0936335,3,,
2134385197,30.5973973,104.0929195,3,,
2134385198,30.5973271,104.0936069,3,,
2134385204,30.6015184,104.0921143,3,,
2134388646,30.5995309,104.0782017,3,,
2134388648,30.6006409,104.0763241,3,,
2134388652,30.5999595,104.0766482,3,,
2134388662,30.5996683,104.0756606,3,,
2134388747,30.6006689,104.0747867,4,,
2134388748,30.6006517,104.0758452,3,,
2134389397,30.6009751,104.0755708,3,,
2134389400,30.6009735,104.0751815,3,,
2134389408,30.6040449,104.075335,3,,
2134390743,30.5992136,104.078702,3,,
2134778543,30.6321011,103.9958284,4,,
2134778549,30.631968,103.9969408,4,,
2134778555,30.6316337,103.9961021,4,,
2134778560,30.6311414,103.9963312,3,,
2134778564,30.636133,103.9935317,3,,
2134782152,30.6249774,104.0049991,3,,
2134782156,30.6253778,104.0044623,3,,
2134792096,30.648948,103.9839542,3,,
2134795421,30.6495063,103.9853605,3,,
2134826918,30.6704577,103.985058,3,,
2135525223,30.6011658,104.0783935,3,,
2135525252,30.600708,104.0781385,3,,
2135525260,30.6017419,104.0780107,4,,
2135525271,30.602537,104.0773951,3,,
2135525431,30.5975436,104.1322413,4,,
2135525432,30.6010912,104.135451,5,,
2135938602,30.6076157,104.0312037,3,,
